No_of_Rooms,Unit_Type,Property_Category,Locality,Price_INR,Area_sqft,Furnishing_Status,Has_Pool,Has_Gym,Has_Parking,Has_Lift,Close_to_Hospital,Power_Backup,Kids_Play_Area,Price_per_sqft
1.0,BHK,Flat,Madhapur,20000,900,areaSemi furnished,No,Yes,No,Yes,No,No,No,22.22222222222222
1.0,BHK,Flat,Madhapur,24000,750,areaSemi furnished,No,No,No,Yes,No,Yes,No,32.0
1.0,BHK,Flat,Madhapur,25000,650,areaFully furnished,No,No,Yes,Yes,No,Yes,No,38.46153846153846
1.0,BHK,Flat,Madhapur,24000,700,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,34.285714285714285
1.0,BHK,Flat,Madhapur,22000,750,areaSemi furnished,No,No,No,Yes,No,No,No,29.333333333333332
1.0,RK,Flat,Madhapur,23000,500,areaFully furnished,No,No,No,Yes,No,Yes,No,46.0
1.0,RK,Flat,Madhapur,25000,500,areaFully furnished,No,No,Yes,Yes,No,Yes,No,50.0
1.0,RK,Flat,Madhapur,24000,500,areaFully furnished,No,No,No,Yes,No,Yes,No,48.0
3.0,BHK,Flat,Financial District,52000,1886,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,27.571580063626723
1.0,BHK,Flat,Kondapur,25500,500,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,51.0
1.0,BHK,Flat,Madhapur,20000,700,areaSemi furnished,No,No,No,Yes,No,Yes,No,28.571428571428573
1.0,BHK,Flat,Madhapur,31000,650,areaFully furnished,No,No,No,Yes,No,Yes,No,47.69230769230769
1.0,BHK,Flat,Madhapur,26000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,21.666666666666668
1.0,BHK,Flat,Madhapur,23000,700,areaSemi furnished,No,No,No,Yes,No,Yes,No,32.857142857142854
1.0,BHK,Flat,Madhapur,30000,750,areaFully furnished,No,No,No,Yes,No,Yes,No,40.0
1.0,BHK,Flat,Madhapur,30000,700,areaFully furnished,No,No,Yes,Yes,No,Yes,No,42.857142857142854
1.0,BHK,Flat,Madhapur,28000,650,areaFully furnished,No,No,No,Yes,No,Yes,No,43.07692307692308
1.0,BHK,Flat,Madhapur,27000,600,areaFully furnished,No,No,No,Yes,No,No,No,45.0
1.0,BHK,Flat,Madhapur,29000,750,areaFully furnished,No,No,No,Yes,No,Yes,No,38.666666666666664
1.0,BHK,Flat,Madhapur,30000,800,areaFully furnished,No,No,No,Yes,No,Yes,No,37.5
2.0,BHK,Flat,Kondapur,30000,2000,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,15.0
3.0,BHK,Flat,Kondapur,51000,2300,areaFully furnished,No,No,Yes,Yes,No,Yes,No,22.17391304347826
2.0,BHK,Flat,Kondapur,41000,2000,areaFully furnished,Yes,No,Yes,Yes,No,Yes,No,20.5
1.0,BHK,Flat,Kondapur,25500,1350,areaFully furnished,No,No,No,Yes,No,Yes,No,18.88888888888889
2.0,BHK,Flat,Kondapur,38000,2500,areaFully furnished,No,No,Yes,Yes,No,Yes,No,15.2
2.5,BHK,Flat,Kondapur,40000,2300,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,17.391304347826086
3.0,BHK,Flat,Shilpa Hills,54000,2150,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,25.11627906976744
2.0,BHK,Flat,Kondapur,39000,2000,areaFully furnished,No,No,Yes,Yes,No,Yes,No,19.5
3.0,BHK,Flat,Kondapur,45000,4000,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,11.25
1.0,BHK,Flat,Kondapur,22000,1000,areaFully furnished,No,No,No,Yes,No,Yes,No,22.0
3.0,BHK,Flat,Kondapur,45000,2000,areaFully furnished,No,No,Yes,Yes,No,Yes,No,22.5
1.0,BHK,Flat,Kondapur,23000,1000,areaFully furnished,No,No,No,Yes,No,Yes,No,23.0
3.0,BHK,Flat,Serilingampally,35000,3000,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,11.666666666666666
1.0,BHK,Flat,Kondapur,25000,1200,areaFully furnished,No,No,No,Yes,No,Yes,No,20.833333333333332
2.0,BHK,Flat,Serilingampally,40000,2500,areaFully furnished,No,No,Yes,Yes,No,Yes,No,16.0
1.0,BHK,Flat,Serilingampally,23999,1000,areaFully furnished,No,No,No,Yes,No,Yes,No,23.999
1.0,BHK,Flat,Kondapur,25000,1000,areaFully furnished,No,No,No,Yes,No,Yes,No,25.0
